Name,Elo
Jordan Mein,{'elo': 1295.8120422961654, 'winStreak': 2}
Leonardo Santos,{'elo': 1295.5741295726148, 'winStreak': 0}
Wanderlei Silva,{'elo': 1295.3872670505475, 'winStreak': 2}
Taila Santos,{'elo': 1295.1207120261756, 'winStreak': 0}
César Almeida,{'elo': 1294.9403530999218, 'winStreak': 2}
Murilo Bustamante,{'elo': 1294.4358414100977, 'winStreak': 2}
Desmond Green,{'elo': 1293.9485121523994, 'winStreak': 2}
Nate Maness,{'elo': 1293.7022796002886, 'winStreak': 2}
Jun Yong Park,{'elo': 1293.6914248649498, 'winStreak': 2}
Abusupiyan Magomedov,{'elo': 1293.678006656107, 'winStreak': 2}
Kennedy Nzechukwu,{'elo': 1293.6257030757815, 'winStreak': 2}
Manuel Torres,{'elo': 1293.5349738263335, 'winStreak': 0}
Cláudia Gadelha,{'elo': 1292.9785444521158, 'winStreak': 0}
Tim Kennedy,{'elo': 1292.9126215780038, 'winStreak': 0}
Ricco Rodriguez,{'elo': 1292.7235646738916, 'winStreak': 0}
Eryk Anders,{'elo': 1292.5502609039568, 'winStreak': 2}
Albert Tumenov,{'elo': 1292.3831426643728, 'winStreak': 0}
Jake Shields,{'elo': 1292.065636580318, 'winStreak': 0}
Brady Hiestand,{'elo': 1291.97899048925, 'winStreak': 3}
Myles Jury,{'elo': 1291.7834608906953, 'winStreak': 0}
Casey O'Neill,{'elo': 1291.7213343600165, 'winStreak': 1}
Ray Borg,{'elo': 1291.6096773252616, 'winStreak': 0}
Paul Daley,{'elo': 1291.2787249915632, 'winStreak': 0}
Patrick Smith,{'elo': 1291.09804534528, 'winStreak': 4}
Pedro Munhoz,{'elo': 1291.0898976159765, 'winStreak': 0}
Tai Tuivasa,{'elo': 1290.862289165613, 'winStreak': 0}
Rani Yahya,{'elo': 1290.7855889768266, 'winStreak': 0}
Chris Curtis,{'elo': 1290.7073086789978, 'winStreak': 0}
Ikram Aliskerov,{'elo': 1290.5291621904976, 'winStreak': 0}
Nick Diaz,{'elo': 1290.2355774754606, 'winStreak': 0}
Claudio Puelles,{'elo': 1290.1424872359576, 'winStreak': 0}
Alexander Gustafsson,{'elo': 1290.0762224320401, 'winStreak': 0}
Mike Swick,{'elo': 1289.4893314139226, 'winStreak': 0}
Jacob Malkoun,{'elo': 1289.025377540185, 'winStreak': 1}
Shawn Jordan,{'elo': 1288.578291234029, 'winStreak': 0}
Ricardo Almeida,{'elo': 1288.564853370435, 'winStreak': 0}
Michael Johnson,{'elo': 1288.049441429241, 'winStreak': 2}
Kevin Souza,{'elo': 1287.9262199608377, 'winStreak': 0}
Alonzo Menifield,{'elo': 1287.4622624865528, 'winStreak': 0}
Jerry Bohlander,{'elo': 1287.3480905781444, 'winStreak': 0}
Trey Waters,{'elo': 1287.1160238014359, 'winStreak': 2}
Chris Wade,{'elo': 1287.087364934493, 'winStreak': 1}
Stevie Ray,{'elo': 1287.0120047219946, 'winStreak': 1}
Ian Garry,{'elo': 1286.8844061301095, 'winStreak': 2}
Yushin Okami,{'elo': 1286.7496622417436, 'winStreak': 0}
Ben Rothwell,{'elo': 1286.680749982313, 'winStreak': 0}
Hyder Amil,{'elo': 1285.4870521795544, 'winStreak': 2}
Jennifer Maia,{'elo': 1285.4783516592217, 'winStreak': 0}
Renato Sobral,{'elo': 1285.4590163934374, 'winStreak': 1}
Lucas Martins,{'elo': 1284.936151255032, 'winStreak': 1}
Miles Johns,{'elo': 1284.9236137636321, 'winStreak': 0}
Bruno Gustavo Da Silva,{'elo': 1284.6150455888549, 'winStreak': 0}
Andre Fili,{'elo': 1283.5305937388366, 'winStreak': 1}
Nurullo Aliev,{'elo': 1283.4650963673869, 'winStreak': 2}
Jon Madsen,{'elo': 1283.4208689887876, 'winStreak': 0}
Raphael Assunção,{'elo': 1282.4542328223124, 'winStreak': 0}
Don Madge,{'elo': 1282.3581599574297, 'winStreak': 2}
Jack Shore,{'elo': 1281.784089911849, 'winStreak': 0}
Punahele Soriano,{'elo': 1281.5559993473173, 'winStreak': 2}
Mark Muñoz,{'elo': 1281.5433821439767, 'winStreak': 1}
André Lima,{'elo': 1281.1920473877353, 'winStreak': 3}
Jean Matsumoto,{'elo': 1281.1210305367106, 'winStreak': 2}
Holly Holm,{'elo': 1281.1152867686044, 'winStreak': 0}
Guy Mezger,{'elo': 1280.6307161923005, 'winStreak': 0}
Charlie Campbell,{'elo': 1280.4759720263282, 'winStreak': 2}
Oumar Sy,{'elo': 1280.4597131602284, 'winStreak': 2}
Nursulton Ruziboev,{'elo': 1280.1390266440178, 'winStreak': 0}
Dean Lister,{'elo': 1280.100027301475, 'winStreak': 0}
Costas Philippou,{'elo': 1280.0586988741368, 'winStreak': 0}
Marina Rodriguez,{'elo': 1279.9933787090142, 'winStreak': 0}
Karo Parisyan,{'elo': 1279.9335142104526, 'winStreak': 0}
Payton Talbott,{'elo': 1279.5369194350073, 'winStreak': 0}
Claude Patrick,{'elo': 1278.9525211245336, 'winStreak': 0}
Chris Duncan,{'elo': 1278.5664899616204, 'winStreak': 1}
Julio Arce,{'elo': 1278.049121216774, 'winStreak': 1}
Tom Breese,{'elo': 1277.7698199420856, 'winStreak': 0}
Nik Lentz,{'elo': 1277.4911096350672, 'winStreak': 0}
Makhmud Muradov,{'elo': 1277.3949808148564, 'winStreak': 0}
Tim Elliott,{'elo': 1277.349503436365, 'winStreak': 1}
Arjan Bhullar,{'elo': 1277.3009208605072, 'winStreak': 2}
Curtis Millender,{'elo': 1277.175282403973, 'winStreak': 0}
Alberto Mina,{'elo': 1277.0190845738307, 'winStreak': 0}
David Terrell,{'elo': 1276.671165690341, 'winStreak': 1}
Amanda Ribas,{'elo': 1276.6376449088498, 'winStreak': 0}
Veronica Hardy,{'elo': 1276.5483984246664, 'winStreak': 0}
Sara Mcmann,{'elo': 1276.4142459632965, 'winStreak': 1}
Muhammad Naimov,{'elo': 1276.3618266930453, 'winStreak': 0}
Ibo Aslan,{'elo': 1275.6311918684682, 'winStreak': 2}
Chris Holdsworth,{'elo': 1275.5851055300855, 'winStreak': 2}
Danny Barlow,{'elo': 1275.5038095922234, 'winStreak': 2}
Cheick Kongo,{'elo': 1275.4328798807294, 'winStreak': 0}
Ismael Bonfim,{'elo': 1275.395820048032, 'winStreak': 1}
Javid Basharat,{'elo': 1275.2859662537926, 'winStreak': 0}
Kajan Johnson,{'elo': 1275.0331902204941, 'winStreak': 0}
Donald Cerrone,{'elo': 1274.9340344903173, 'winStreak': 0}
Enrique Barzola,{'elo': 1274.798755241469, 'winStreak': 0}
Chris Padilla,{'elo': 1274.7245738351155, 'winStreak': 2}
Alex Morono,{'elo': 1274.6510674585772, 'winStreak': 0}
Maurício Ruffy,{'elo': 1274.3522242858007, 'winStreak': 2}
Piera Rodríguez,{'elo': 1273.8704818877534, 'winStreak': 1}
Michael Graves,{'elo': 1273.7473184174764, 'winStreak': 0}
Tito Ortiz,{'elo': 1273.7300322548017, 'winStreak': 0}
Melvin Guillard,{'elo': 1273.5073820630787, 'winStreak': 0}
Luis Peña,{'elo': 1273.4838715470821, 'winStreak': 1}
Jacob Volkmann,{'elo': 1273.1975757235293, 'winStreak': 0}
Hector Lombard,{'elo': 1272.7120085857703, 'winStreak': 1}
Phillip Miller,{'elo': 1272.7044529959373, 'winStreak': 2}
Kurt Pellegrino,{'elo': 1272.5857683990255, 'winStreak': 0}
Jeremy Kennedy,{'elo': 1272.3577264931757, 'winStreak': 0}
Tainara Lisboa,{'elo': 1271.73967352577, 'winStreak': 2}
Luana Carolina,{'elo': 1271.4967690547926, 'winStreak': 3}
Nina Ansaroff,{'elo': 1271.3993873980512, 'winStreak': 0}
Davi Ramos,{'elo': 1270.3150695833972, 'winStreak': 0}
Nazim Sadykhov,{'elo': 1270.2486750618998, 'winStreak': 0}
Bas Rutten,{'elo': 1270.144184329128, 'winStreak': 2}
Caio Magalhães,{'elo': 1269.6752983091703, 'winStreak': 0}
Miesha Tate,{'elo': 1269.1929206232699, 'winStreak': 1}
Magnus Cedenblad,{'elo': 1269.1673278427897, 'winStreak': 0}
Vladimir Matyushenko,{'elo': 1268.3457288434122, 'winStreak': 0}
Alexander Hernandez,{'elo': 1268.0311276563095, 'winStreak': 1}
Steve Erceg,{'elo': 1267.5805671243872, 'winStreak': 0}
Douglas Silva De Andrade,{'elo': 1267.2134652565296, 'winStreak': 0}
Shamil Gaziev,{'elo': 1267.1643005658495, 'winStreak': 1}
Jack Jenkins,{'elo': 1267.1082278474653, 'winStreak': 1}
Jeff Monson,{'elo': 1266.8260707271136, 'winStreak': 0}
Matt Riddle,{'elo': 1266.4816491724584, 'winStreak': 0}
Francis Carmont,{'elo': 1266.3759099066142, 'winStreak': 0}
Gerald Meerschaert,{'elo': 1266.1036191545238, 'winStreak': 0}
Jj Aldrich,{'elo': 1265.9507531158902, 'winStreak': 0}
Ken Shamrock,{'elo': 1265.794380962276, 'winStreak': 0}
Melsik Baghdasaryan,{'elo': 1265.7638717953344, 'winStreak': 1}
Antônio Carlos Júnior,{'elo': 1265.2460374632522, 'winStreak': 0}
Park Hyun-Sung,{'elo': 1265.2381567612683, 'winStreak': 2}
Ariane Lipski,{'elo': 1265.031453364149, 'winStreak': 0}
Ali Bagautinov,{'elo': 1264.9661266621995, 'winStreak': 0}
Ronaldo Rodríguez,{'elo': 1264.951363021233, 'winStreak': 2}
Augusto Sakai,{'elo': 1264.879510367767, 'winStreak': 1}
Hakeem Dawodu,{'elo': 1264.841027396383, 'winStreak': 0}
Rinya Nakamura,{'elo': 1264.7519549362912, 'winStreak': 0}
Fabio Maldonado,{'elo': 1264.7374690255183, 'winStreak': 2}
Daniel Santos,{'elo': 1264.5260155519145, 'winStreak': 2}
Sérgio Moraes,{'elo': 1264.444672171956, 'winStreak': 0}
Charles Jourdain,{'elo': 1264.4270695855585, 'winStreak': 1}
Yana Kunitskaya,{'elo': 1264.3103944895192, 'winStreak': 0}
Morgan Charrière,{'elo': 1264.2537013519604, 'winStreak': 1}
Joel Sutton,{'elo': 1264.0400817150087, 'winStreak': 2}
Myktybek Orolbai,{'elo': 1263.9991443669994, 'winStreak': 0}
Mark Hunt,{'elo': 1263.5960241879936, 'winStreak': 0}
Laverne Clark,{'elo': 1263.504515673953, 'winStreak': 0}
Rashad Evans,{'elo': 1263.2129576453333, 'winStreak': 0}
Evan Tanner,{'elo': 1263.1324726757039, 'winStreak': 0}
Luana Santos,{'elo': 1263.0732784642826, 'winStreak': 0}
Gerald Harris,{'elo': 1262.6839391022934, 'winStreak': 0}
Victor Henry,{'elo': 1262.6375233114907, 'winStreak': 0}
Ismail Naurdiev,{'elo': 1262.500887539307, 'winStreak': 1}
Jhonata Diniz,{'elo': 1261.9560016095863, 'winStreak': 0}
Saidyokub Kakhramonov,{'elo': 1261.9069166430656, 'winStreak': 0}
Cung Le,{'elo': 1261.5084585704374, 'winStreak': 0}
Lyman Good,{'elo': 1260.7818276267215, 'winStreak': 0}
Matt Serra,{'elo': 1260.6775857944876, 'winStreak': 0}
Karl Williams,{'elo': 1260.645659563856, 'winStreak': 0}
Rafa García,{'elo': 1260.5763011010092, 'winStreak': 0}
Angela Hill,{'elo': 1260.5424217823222, 'winStreak': 0}
Nikolas Motta,{'elo': 1260.1897686345735, 'winStreak': 2}
Jafel Filho,{'elo': 1260.0765809865936, 'winStreak': 2}
Vanessa Demopoulos,{'elo': 1260.0708355522383, 'winStreak': 0}
Allan Nascimento,{'elo': 1259.9468611296572, 'winStreak': 2}
Vitor Petrino,{'elo': 1259.7529674378186, 'winStreak': 0}
Alex Hunter,{'elo': 1259.6750128774618, 'winStreak': 2}
Bryan Caraway,{'elo': 1259.4239809687379, 'winStreak': 0}
Karol Rosa,{'elo': 1259.3678000819662, 'winStreak': 0}
Adriano Martins,{'elo': 1258.8345272460388, 'winStreak': 0}
Azamat Bekoev,{'elo': 1258.4614143043505, 'winStreak': 1}
Sergey Khandozhko,{'elo': 1258.180535363634, 'winStreak': 1}
Zubaira Tukhugov,{'elo': 1257.6149143767861, 'winStreak': 0}
Nate Landwehr,{'elo': 1257.5667035200627, 'winStreak': 0}
Dennis Bermudez,{'elo': 1257.5055318896991, 'winStreak': 1}
Mayra Bueno Silva,{'elo': 1257.4293688721873, 'winStreak': 0}
Kevin Randleman,{'elo': 1257.2352042261998, 'winStreak': 1}
Brad Tavares,{'elo': 1256.9296995839206, 'winStreak': 0}
Jacobe Smith,{'elo': 1256.7229959004305, 'winStreak': 1}
Alejandro Pérez,{'elo': 1256.486274212273, 'winStreak': 0}
Kyle Nelson,{'elo': 1256.1646481216203, 'winStreak': 0}
Tecia Torres,{'elo': 1256.0591896149303, 'winStreak': 0}
John Castañeda,{'elo': 1255.9238106478406, 'winStreak': 0}
Muin Gafurov,{'elo': 1255.408831581363, 'winStreak': 2}
Sergey Morozov,{'elo': 1255.1113579728953, 'winStreak': 2}
Edmen Shahbazyan,{'elo': 1255.096774635274, 'winStreak': 0}
Ramazan Emeev,{'elo': 1254.9858079610126, 'winStreak': 0}
Choi Dong-Hun,{'elo': 1254.5377908438627, 'winStreak': 1}
Diego Sanchez,{'elo': 1254.5054713072118, 'winStreak': 0}
Jorge Rivera,{'elo': 1254.4512099025596, 'winStreak': 1}
Abel Trujillo,{'elo': 1254.1749178632658, 'winStreak': 0}
Josh Koscheck,{'elo': 1254.1321639099115, 'winStreak': 0}
Olivier Aubin-Mercier,{'elo': 1253.6024043823104, 'winStreak': 0}
Magomed Mustafaev,{'elo': 1253.5840934983546, 'winStreak': 0}
Megan Anderson,{'elo': 1253.5685063074682, 'winStreak': 0}
Daniel Zellhuber,{'elo': 1253.5277390301765, 'winStreak': 0}
Sean Pierson,{'elo': 1253.4676446324327, 'winStreak': 2}
Mirsad Bektić,{'elo': 1253.0552638184092, 'winStreak': 0}
Chidi Njokuani,{'elo': 1252.9650477990217, 'winStreak': 2}
Ketlen Souza,{'elo': 1252.897857261324, 'winStreak': 2}
Norman Parke,{'elo': 1252.8341079367096, 'winStreak': 0}
Yanal Ashmouz,{'elo': 1252.6916863002148, 'winStreak': 1}
Todd Duffee,{'elo': 1252.6533071541303, 'winStreak': 0}
Alexey Oleynik,{'elo': 1252.5607368374076, 'winStreak': 1}
Kang Kyung-Ho,{'elo': 1252.5193048705023, 'winStreak': 0}
Marco Ruas,{'elo': 1252.48973358855, 'winStreak': 0}
Wilson Reis,{'elo': 1252.303170553198, 'winStreak': 0}
Eduarda Moura,{'elo': 1251.6754237061261, 'winStreak': 1}
Johnny Case,{'elo': 1251.6610613233634, 'winStreak': 0}
Che Mills,{'elo': 1251.567975545522, 'winStreak': 0}
Diego Nunes,{'elo': 1251.4858939388346, 'winStreak': 1}
Maurice Smith,{'elo': 1251.005631750521, 'winStreak': 0}
Dennis Hallman,{'elo': 1250.9804440853907, 'winStreak': 1}
Nora Cornolle,{'elo': 1250.8965671971312, 'winStreak': 0}
Nicolae Negumereanu,{'elo': 1250.782877689127, 'winStreak': 0}
Paul Sass,{'elo': 1250.7811466695423, 'winStreak': 0}
Brian Foster,{'elo': 1250.6297767808883, 'winStreak': 2}
Paul Craig,{'elo': 1250.1397707179287, 'winStreak': 0}
Isaac Dulgarian,{'elo': 1249.8345622060099, 'winStreak': 1}
Justin Tafa,{'elo': 1249.5518973373353, 'winStreak': 0}
Cláudio Silva,{'elo': 1249.5436177262895, 'winStreak': 0}
Marcus Davis,{'elo': 1249.2994396857025, 'winStreak': 0}
Brendan Schaub,{'elo': 1249.1756413632409, 'winStreak': 0}
Rich Clementi,{'elo': 1249.1610517146232, 'winStreak': 0}
Mark Coleman,{'elo': 1249.0072156700353, 'winStreak': 0}
Brian Stann,{'elo': 1248.842706445143, 'winStreak': 0}
Cathal Pendred,{'elo': 1248.8198640734681, 'winStreak': 0}
Kevin Jousset,{'elo': 1248.7687642358576, 'winStreak': 0}
Shi Ming,{'elo': 1248.6944561105915, 'winStreak': 1}
Andre Roberts,{'elo': 1248.6085657358879, 'winStreak': 1}
Mairon Santos,{'elo': 1248.605911914685, 'winStreak': 1}
Remco Pardoel,{'elo': 1248.5366612848763, 'winStreak': 1}
Felicia Spencer,{'elo': 1248.4305714697507, 'winStreak': 1}
Marcio Cruz,{'elo': 1248.3500418362116, 'winStreak': 0}
Timur Valiev,{'elo': 1247.9696234731691, 'winStreak': 0}
Matheus Nicolau,{'elo': 1247.905110746785, 'winStreak': 0}
Gray Maynard,{'elo': 1247.8949337807092, 'winStreak': 0}
Maiquel Falcão,{'elo': 1247.7504727096878, 'winStreak': 1}
Steve Bossé,{'elo': 1247.7107246507107, 'winStreak': 2}
Tim Boetsch,{'elo': 1247.677720161135, 'winStreak': 0}
James Vick,{'elo': 1247.5772997757958, 'winStreak': 0}
Matt Frevola,{'elo': 1247.529088564967, 'winStreak': 0}
Carlston Harris,{'elo': 1247.3872499511558, 'winStreak': 0}
Ricardo Ramos,{'elo': 1246.9126415369265, 'winStreak': 1}
Dan Kelly,{'elo': 1246.7367994295512, 'winStreak': 0}
Elves Brener,{'elo': 1246.7298179519914, 'winStreak': 0}
José Alberto Quiñónez,{'elo': 1246.7195633086678, 'winStreak': 0}
Alexey Kunchenko,{'elo': 1246.67409941802, 'winStreak': 0}
Charles Radtke,{'elo': 1245.7862721159972, 'winStreak': 1}
Melissa Mullins,{'elo': 1245.6595628223185, 'winStreak': 1}
Aliaskhab Khizriev,{'elo': 1245.425642802955, 'winStreak': 0}
Rodrigo Nascimento,{'elo': 1245.3941484701036, 'winStreak': 0}
Ramazan Temirov,{'elo': 1245.1770553534443, 'winStreak': 1}
Lee Murray,{'elo': 1244.9333099829357, 'winStreak': 1}
Stephanie Luciano,{'elo': 1244.6744045076216, 'winStreak': 1}
Khalid Murtazaliev,{'elo': 1244.6396626443504, 'winStreak': 1}
Nordine Taleb,{'elo': 1244.6369651650457, 'winStreak': 0}
Soa Palelei,{'elo': 1244.5758352279688, 'winStreak': 0}
Joe Lauzon,{'elo': 1244.3576887011075, 'winStreak': 1}
Danny Silva,{'elo': 1244.243194135381, 'winStreak': 1}
Iuri Alcântara,{'elo': 1244.1980721792272, 'winStreak': 0}
Bruno Lopes,{'elo': 1244.1348621995933, 'winStreak': 1}
Michael Trizano,{'elo': 1243.4569446231005, 'winStreak': 1}
Michael Page,{'elo': 1243.441730781688, 'winStreak': 0}
Jonny Parsons,{'elo': 1243.174057533017, 'winStreak': 1}
Wilson Gouveia,{'elo': 1242.8128242715095, 'winStreak': 0}
Brad Riddell,{'elo': 1242.8075457252821, 'winStreak': 0}
Joe Duffy,{'elo': 1242.5459580553065, 'winStreak': 1}
Leslie Smith,{'elo': 1242.3374772633815, 'winStreak': 2}
Josh Samman,{'elo': 1242.3335076687724, 'winStreak': 0}
Mark Hall,{'elo': 1242.1887246373547, 'winStreak': 1}
Evan Dunham,{'elo': 1241.9780859797934, 'winStreak': 0}
Walt Harris,{'elo': 1241.9496912499767, 'winStreak': 0}
Cody Haddon,{'elo': 1241.7634243697864, 'winStreak': 1}
Clayton Carpenter,{'elo': 1241.7582869891407, 'winStreak': 0}
Sanae Kikuta,{'elo': 1241.7424752360319, 'winStreak': 1}
Cameron Smotherman,{'elo': 1241.7171879330767, 'winStreak': 1}
Jonathan Pearce,{'elo': 1241.6675607628176, 'winStreak': 0}
Philip Rowe,{'elo': 1241.532138350435, 'winStreak': 0}
Chris Daukaus,{'elo': 1241.4343382524294, 'winStreak': 0}
Mike Russow,{'elo': 1241.3252111749352, 'winStreak': 0}
Rei Tsuruya,{'elo': 1241.21057805232, 'winStreak': 1}
Elias Silverio,{'elo': 1241.1938831291486, 'winStreak': 1}
George Sotiropoulos,{'elo': 1241.1599763893219, 'winStreak': 0}
Roy Nelson,{'elo': 1240.9551561918054, 'winStreak': 0}
Cheyanne Buys,{'elo': 1240.9200106950261, 'winStreak': 1}
Mike Perry,{'elo': 1240.7770013469656, 'winStreak': 0}
Hermes França,{'elo': 1240.6221225238917, 'winStreak': 0}
Brunno Ferreira,{'elo': 1240.5916791217137, 'winStreak': 0}
You Su-Young,{'elo': 1240.4538558457223, 'winStreak': 1}
Lone'Er Kavanagh,{'elo': 1240.4538558457223, 'winStreak': 1}
Nathan Fletcher,{'elo': 1240.3916042312478, 'winStreak': 1}
Ryan Loder,{'elo': 1240.3802960521998, 'winStreak': 1}
Robbie Peralta,{'elo': 1240.095091142503, 'winStreak': 0}
Mohammad Usman,{'elo': 1239.986497975195, 'winStreak': 1}
Carlos Felipe,{'elo': 1239.9761823018005, 'winStreak': 0}
Melissa Gatto,{'elo': 1239.6180863011484, 'winStreak': 1}
Niko Price,{'elo': 1239.3145057701001, 'winStreak': 0}
Aspen Ladd,{'elo': 1239.211340163444, 'winStreak': 0}
Dmitriy Sosnovskiy,{'elo': 1238.8638948355467, 'winStreak': 1}
Mansur Abdul-Malik,{'elo': 1238.7334112554533, 'winStreak': 1}
Rodolfo Bellato,{'elo': 1238.65625988175, 'winStreak': 1}
Tecia Pennington,{'elo': 1238.6390930622013, 'winStreak': 1}
David Branch,{'elo': 1238.5967477755635, 'winStreak': 0}
Luis Henrique Da Silva,{'elo': 1238.1170377686678, 'winStreak': 1}
Ikuhisa Minowa,{'elo': 1238.0894274039806, 'winStreak': 1}
Wang Guan,{'elo': 1238.082127982982, 'winStreak': 1}
Cezar Ferreira,{'elo': 1237.7925130479907, 'winStreak': 0}
Kenichi Yamamoto,{'elo': 1237.76474576591, 'winStreak': 0}
Juan Espino,{'elo': 1237.5118332303139, 'winStreak': 0}
Marco Tulio,{'elo': 1237.4060202424607, 'winStreak': 1}
Christian Leroy Duncan,{'elo': 1237.4045135294155, 'winStreak': 0}
Wang Anying,{'elo': 1237.4033838911967, 'winStreak': 1}
Lee Chang-Ho,{'elo': 1237.3420818624415, 'winStreak': 1}
Yang Dongi,{'elo': 1237.162984111888, 'winStreak': 1}
Mark Schultz,{'elo': 1237.0339842090923, 'winStreak': 1}
Scott Adams,{'elo': 1236.8976847758336, 'winStreak': 1}
Gerard Gordeau,{'elo': 1236.874775860279, 'winStreak': 2}
Marquel Mederos,{'elo': 1236.8100653209708, 'winStreak': 1}
Antoni Hardonk,{'elo': 1236.753146156684, 'winStreak': 0}
Genki Sudo,{'elo': 1236.6654724428918, 'winStreak': 1}
Javier Vazquez,{'elo': 1236.5999598191452, 'winStreak': 1}
Cristian Quiñónez,{'elo': 1236.596475250311, 'winStreak': 1}
Krzysztof Soszynski,{'elo': 1236.5611619663807, 'winStreak': 0}
Rafael Estevam,{'elo': 1236.4160002969122, 'winStreak': 1}
Da'Mon Blackshear,{'elo': 1236.2755659791585, 'winStreak': 1}
Siyar Bahadurzada,{'elo': 1235.878439301133, 'winStreak': 0}
Liz Carmouche,{'elo': 1235.694174007119, 'winStreak': 0}
Navajo Stirling,{'elo': 1235.5003746537027, 'winStreak': 1}
Tom Lawlor,{'elo': 1235.4931664686496, 'winStreak': 0}
Logan Clark,{'elo': 1235.4832463646185, 'winStreak': 1}
Jonathan Wiezorek,{'elo': 1235.3709109104036, 'winStreak': 1}
Mikey Burnett,{'elo': 1235.2889985805386, 'winStreak': 1}
Tom Murphy,{'elo': 1235.2822708263684, 'winStreak': 1}
Jamal Pogues,{'elo': 1234.7201921549947, 'winStreak': 1}
Sam Patterson,{'elo': 1234.3755428352622, 'winStreak': 2}
Mike Kyle,{'elo': 1234.303607254161, 'winStreak': 1}
Cody Durden,{'elo': 1234.1733797713857, 'winStreak': 0}
Cyrille Diabate,{'elo': 1234.1608414204716, 'winStreak': 1}
Tom Duquesnoy,{'elo': 1234.106757589832, 'winStreak': 1}
Joanne Calderwood,{'elo': 1234.0633845299992, 'winStreak': 0}
John Makdessi,{'elo': 1233.9473286328064, 'winStreak': 0}
Mark Hughes,{'elo': 1233.9442749607094, 'winStreak': 1}
Ben Earwood,{'elo': 1233.9442749607094, 'winStreak': 1}
Aleksei Oleinik,{'elo': 1233.868643921735, 'winStreak': 0}
Gastón Bolaños,{'elo': 1233.7777397070988, 'winStreak': 1}
Bob Cook,{'elo': 1233.7736245087722, 'winStreak': 1}
Tatsuya Kawajiri,{'elo': 1233.7210762807576, 'winStreak': 0}
Paweł Pawlak,{'elo': 1233.6607423122498, 'winStreak': 1}
Jordan Leavitt,{'elo': 1233.6224908740992, 'winStreak': 0}
Tsuyoshi Kohsaka,{'elo': 1233.6192891388387, 'winStreak': 1}
Marcelo Mello,{'elo': 1233.5662163806028, 'winStreak': 1}
Sione Latu,{'elo': 1233.523949159231, 'winStreak': 1}
Cesar Marscucci,{'elo': 1233.4302124568403, 'winStreak': 1}
Tulio Palhares,{'elo': 1233.4302124568403, 'winStreak': 1}
Gleison Tibau,{'elo': 1233.3902377446218, 'winStreak': 0}
Puja Tomar,{'elo': 1233.350153355661, 'winStreak': 1}
Gary Goodridge,{'elo': 1233.238798769109, 'winStreak': 1}
Falaniko Vitale,{'elo': 1233.1890094609425, 'winStreak': 0}
Enson Inoue,{'elo': 1233.0949252488872, 'winStreak': 1}
Justin Martin,{'elo': 1233.0208748432406, 'winStreak': 1}
Damon Jackson,{'elo': 1232.9773695973727, 'winStreak': 0}
Rafael Carino,{'elo': 1232.8456684991145, 'winStreak': 1}
Johnny Rhodes,{'elo': 1232.7490769307487, 'winStreak': 2}
Onassis Parungao,{'elo': 1232.6805411490668, 'winStreak': 1}
Jon Hess,{'elo': 1232.5800389301703, 'winStreak': 1}
Frank Hamaker,{'elo': 1232.3256075548695, 'winStreak': 1}
Blagoy Ivanov,{'elo': 1232.1080133726914, 'winStreak': 0}
Kim Dong-Hyun,{'elo': 1231.9299923030328, 'winStreak': 1}
Charlie Radtke,{'elo': 1231.6961307585368, 'winStreak': 1}
Josefine Lindgren Knutsson,{'elo': 1231.6390141418265, 'winStreak': 0}
Viscardi Andrade,{'elo': 1231.576222229059, 'winStreak': 0}
Joanne Wood,{'elo': 1231.495008945481, 'winStreak': 2}
Matthew Riddle,{'elo': 1231.277038764927, 'winStreak': 1}
Ben Nguyen,{'elo': 1231.1627750515872, 'winStreak': 0}
Ebenezer Fontes Braga,{'elo': 1230.7900342766345, 'winStreak': 1}
Yoshiki Takahashi,{'elo': 1230.5748841141117, 'winStreak': 1}
Abdul-Kerim Edilov,{'elo': 1230.4242779721371, 'winStreak': 1}
Tyrone Roberts,{'elo': 1230.3080132885455, 'winStreak': 1}
Michelle Waterson,{'elo': 1230.207075784436, 'winStreak': 0}
Timothy Johnson,{'elo': 1230.1484384273492, 'winStreak': 1}
Manvel Gamburyan,{'elo': 1230.1283007688253, 'winStreak': 0}
Luis Saldaña,{'elo': 1230.03263495553, 'winStreak': 0}
Mana Martinez,{'elo': 1229.4765120189195, 'winStreak': 1}
Antônio Rogério Nogueira,{'elo': 1229.3773176401733, 'winStreak': 0}
Ronnie Lawrence,{'elo': 1229.2257187038483, 'winStreak': 0}
Royston Wee,{'elo': 1228.9766419079003, 'winStreak': 0}
Brandon Vera,{'elo': 1228.849458540804, 'winStreak': 0}
Paddy Holohan,{'elo': 1228.2702568970535, 'winStreak': 0}
Kazushi Sakuraba,{'elo': 1228.1893369307077, 'winStreak': 0}
Ed Herman,{'elo': 1228.1766600286157, 'winStreak': 0}
Mizuki Inoue,{'elo': 1228.019944586549, 'winStreak': 1}
Ian Freeman,{'elo': 1227.7801659801912, 'winStreak': 0}
Marc Diakiese,{'elo': 1227.700361587973, 'winStreak': 1}
Darren Uyenoyama,{'elo': 1227.1524947001558, 'winStreak': 0}
Aisling Daly,{'elo': 1226.9770647601808, 'winStreak': 1}
Steve Jennum,{'elo': 1226.9504480398773, 'winStreak': 0}
Steve Nelmark,{'elo': 1226.829341833364, 'winStreak': 1}
Din Thomas,{'elo': 1226.7219637926983, 'winStreak': 0}
