Name,Elo,WinStreak,LastFight
Francisco Trinaldo,1381.4150046225056,0,2022-10-01
Brandon Moreno,1381.3582126238168,0,2025-12-06
Pat Sabatini,1379.4404651408367,3,2025-11-15
Tyron Woodley,1379.2814335430503,0,2021-03-27
Yoel Romero,1379.148648525034,0,2020-03-07
Dominick Reyes,1379.0563616166419,0,2025-09-28
Volkan Oezdemir,1378.461766535719,1,2025-11-22
Chris Duncan,1378.2349820602274,4,2025-12-06
Mackenzie Dern,1377.3093810386258,3,2025-10-25
Bryan Battle,1376.6140018274239,2,2024-12-07
Lyoto Machida,1375.0206849928716,2,2018-05-12
Mike Malott,1374.8839278952921,3,2025-10-18
Nathaniel Wood,1374.7129617313403,3,2025-10-25
Raoni Barcelos,1373.5829155669558,4,2025-11-08
Anthony Pettis,1371.5938758946209,2,2020-12-19
Virna Jandiroba,1369.4421597093728,0,2025-10-25
Fabrício Werdum,1368.6531513226505,1,2020-07-26
Dominick Cruz,1368.1852041464374,0,2022-08-13
James Krause,1366.7530113861892,1,2020-10-18
Raquel Pennington,1366.1147873484417,0,2024-10-05
Katlyn Chookagian,1365.304689246317,0,2022-10-22
Nate Diaz,1363.7126631077329,1,2022-09-10
Ľudovít Klein,1362.9519803409255,1,2025-10-25
Vinicius Oliveira,1361.5356349913357,4,2025-07-19
Jacqueline Cavalcanti,1360.8990804019215,5,2025-11-08
Alexander Hernandez,1360.4080023929826,4,2025-09-13
T. J. Grant,1359.8006158422086,4,2013-05-25
Asu Almabayev,1359.6486331268623,2,2025-11-22
Reinier De Ridder,1359.5172353883117,0,2025-10-18
Alistair Overeem,1358.3774555233274,0,2021-02-06
Henry Cejudo,1357.9292574275094,0,2025-12-06
Chan Sung Jung,1357.525901368102,0,2022-04-09
Dong Hyun Kim,1356.7276828312044,0,2017-06-17
Payton Talbott,1356.5612958351205,2,2025-12-06
Jasmine Jasudavicius,1356.419590420983,0,2025-10-18
Glover Teixeira,1356.051970984716,0,2023-01-21
Phil Davis,1355.504006385372,0,2015-01-24
Chad Mendes,1355.4460533336082,0,2018-12-29
Mairon Santos,1354.218633290042,4,2025-12-06
Vicente Luque,1354.13342641082,0,2025-10-11
Brandon Royval,1353.8170425970693,0,2025-06-28
Jean Silva,1353.7812360907342,0,2025-09-13
Ikram Aliskerov,1353.5511064805657,2,2025-10-25
Denise Gomes,1353.2354926578048,4,2025-11-08
Gillian Robertson,1352.56113174195,4,2025-05-03
Chris Gutiérrez,1351.5204386914222,0,2025-10-04
Corey Anderson,1351.4515119219866,0,2020-02-15
Bryce Mitchell,1351.3057808968208,1,2025-07-26
Cris Cyborg,1351.1044453167024,1,2019-07-27
Joseph Benavidez,1349.7369588470856,0,2021-03-06
Edmen Shahbazyan,1349.4664622302903,3,2025-10-04
José Aldo,1349.1659466333026,0,2025-05-10
Kenny Florian,1348.6078795319927,0,2011-10-08
Marlon Vera,1348.3010147205878,0,2025-10-18
Shane Burgos,1348.2953919482525,2,2022-07-16
Anthony Rocco Martin,1347.9374407994726,0,2020-06-06
Bogdan Guskov,1347.8916579250283,0,2025-12-06
Mairbek Taisumov,1347.6822031794231,0,2019-09-07
Rafael Fiziev,1346.4431558393724,1,2025-06-21
Rory Macdonald,1346.3611282301201,0,2016-06-18
Jake Matthews,1346.2248019506458,0,2025-09-28
Christian Leroy Duncan,1345.7799353499906,3,2025-11-08
Jared Cannonier,1345.3894471303906,0,2025-08-16
Quillan Salkilld,1345.3760371205383,3,2025-10-25
Brian Ortega,1343.686977398773,0,2025-08-23
Daniel Marcos,1343.3339805301832,1,2025-11-08
Nasrat Haqparast,1342.7808873189263,0,2025-10-25
Érik Pérez,1341.542048260914,3,2016-11-05
Martin Buday,1340.8217404357697,3,2025-07-26
Rob Font,1340.4387810002152,0,2025-09-13
Khalil Rountree Jr.,1339.6750774159666,0,2025-10-04
Paulo Costa,1338.787440617495,1,2025-07-19
Brunno Ferreira,1337.9104119204858,3,2025-12-06
Manel Kape,1337.6306170493394,2,2025-03-01
Gilbert Burns,1337.4416144840604,0,2025-05-17
Myktybek Orolbai,1336.803744774049,2,2025-11-22
Johnny Walker,1336.0713747779282,1,2025-08-23
Bo Nickal,1336.0449549565103,1,2025-11-15
Melquizael Costa,1335.7062034341227,4,2025-05-17
Matt Hughes,1335.5120932446314,0,2011-09-24
Kayla Harrison,1333.8558721913973,3,2025-06-07
Yan Xiaonan,1333.8207201337457,0,2025-04-12
Chas Skelly,1332.6304972660953,2,2022-02-19
Elias Theodorou,1331.9090024153727,0,2019-05-04
Chepe Mariscal,1331.8371295659979,0,2025-11-15
Michel Prazeres,1331.4023489706728,0,2021-06-26
Josh Emmett,1331.1816291969335,0,2025-10-04
Julianna Peña,1331.0267698970551,0,2025-06-07
Chris Padilla,1330.615869946679,4,2025-11-08
Rick Story,1330.5744603366356,0,2016-08-20
Valter Walker,1330.0078808943374,4,2025-10-25
Amanda Lemos,1329.724601481331,0,2025-09-13
Mansur Abdul-Malik,1329.678151889803,4,2025-12-06
Rashid Magomedov,1329.6697633509484,1,2017-04-15
Bobby Green,1329.4514366890087,1,2024-04-13
Nicolas Dalby,1328.5716638427778,1,2025-11-22
Cheick Kongo,1327.9780815513966,0,2013-04-27
Alexa Grasso,1327.882553575354,0,2025-05-10
Ricardo Lamas,1326.3739469616917,1,2020-08-29
Tracy Cortez,1326.3133276598078,0,2025-11-15
Ronda Rousey,1326.257704947492,0,2016-12-30
Uroš Medić,1326.1380221444851,2,2025-11-08
David Teymur,1326.1363159628802,0,2019-02-02
Frank Shamrock,1325.1689879868338,5,1999-09-24
Sam Patterson,1325.1592355958069,4,2025-09-06
William Gomis,1325.02672369959,1,2025-09-06
Ryan Hall,1324.9247428384156,1,2021-12-11
Tim Sylvia,1324.8406807179342,0,2008-02-02
Modestas Bukauskas,1324.5747921907637,4,2025-09-06
Tagir Ulanbekov,1324.2887116238383,0,2025-11-22
Jonathan Martinez,1324.0501027424746,0,2024-11-16
Geoff Neal,1323.4878679068577,0,2025-08-16
Dustin Jacoby,1323.2101463086913,2,2025-05-31
Josh Barnett,1323.0293576143615,1,2016-09-03
Muslim Salikhov,1322.9818604134266,0,2025-11-08
Rafa García,1322.935558745091,2,2025-09-13
Derek Brunson,1322.4831112933223,0,2023-03-04
Michael Page,1322.3930186331054,2,2025-08-16
Tabatha Ricci,1321.846427112008,1,2025-07-26
Thiago Silva,1321.7742650177474,2,2013-10-09
Jalin Turner,1321.5194852222926,1,2025-12-06
Giga Chikadze,1321.377945651367,0,2025-04-26
Forrest Griffin,1321.03606002532,1,2012-07-07
Jordan Johnson,1320.9172129436827,4,2018-09-15
Randy Couture,1320.0130529495636,0,2011-04-30
Krzysztof Jotko,1319.4771838143508,0,2022-10-01
Omari Akhmedov,1319.3576078061806,0,2021-07-10
Sean Woodson,1318.944265150956,0,2025-04-12
David Onama,1318.7203648914394,0,2025-11-01
Marcin Tybura,1318.3535377259861,0,2025-09-06
Ignacio Bahamondes,1317.0699699090933,0,2025-06-21
Ailín Pérez,1316.9378334147134,5,2025-01-18
Paul Felder,1316.46669872774,0,2020-11-14
Daniel Santos,1315.7832815160757,4,2025-10-04
Allan Nascimento,1315.377344407935,4,2025-11-01
Chuck Liddell,1315.3083190187247,0,2010-06-12
Iasmin Lucindo,1315.2749538606672,1,2025-08-09
Uriah Hall,1314.742540204533,0,2022-07-02
Sean Sherk,1313.7055556821215,1,2010-09-25
Rousimar Palhares,1313.6130716148846,1,2013-10-09
Kelvin Gastelum,1313.4619648961223,1,2025-09-13
John Hathaway,1313.0133905576868,0,2014-03-01
Eddie Alvarez,1312.7451977625656,0,2018-07-28
Jairzinho Rozenstruik,1311.4290452598857,0,2025-02-01
Vitor Belfort,1311.038345503228,0,2018-05-12
Sharabutdin Magomedov,1310.811548542806,1,2025-07-26
Antonio Carvalho,1309.695228514241,0,2013-03-16
Ricky Simón,1309.4251664923029,0,2025-11-08
Marcus Mcghee,1308.998928768639,0,2025-07-26
Chase Hooper,1308.8410925499281,0,2025-08-16
Raul Rosas Jr.,1308.6386930851384,4,2025-03-29
Miranda Maverick,1308.623640884165,0,2025-06-14
Sage Northcutt,1308.3155001219736,3,2018-07-14
Nursulton Ruziboev,1307.259507391997,2,2025-05-17
Brett Johns,1306.2156253801854,2,2020-07-19
Ketlen Vieira,1306.1695438857319,0,2025-11-01
Dustin Ortiz,1305.5138577847665,0,2019-01-19
Jeremiah Wells,1305.2662814407283,1,2025-11-01
Sergio Pettis,1304.8546062111486,1,2019-09-21
Charles Jourdain,1304.7417621363766,2,2025-10-18
Urijah Faber,1304.4483830588729,0,2019-12-14
Nurullo Aliev,1304.1741525655586,3,2025-11-22
Serghei Spivac,1302.9172147894456,0,2025-06-07
Thales Leites,1302.7293901506173,1,2018-09-22
Junior Dos Santos,1302.3763827107884,0,2020-12-12
Nazim Sadykhov,1302.2465676892766,0,2025-12-06
Alan Belcher,1302.1502211799502,0,2013-04-27
Amir Albazi,1301.8211756245248,0,2024-11-02
Anderson Silva,1301.40835851055,0,2020-10-31
Quinton Jackson,1301.3658000244789,1,2015-04-25
Vitor Petrino,1301.040533167113,2,2025-10-11
Carla Esparza,1300.734555852724,0,2024-10-05
Karine Silva,1300.7271048450982,0,2025-12-06
Jim Miller,1300.2097052019174,0,2025-04-12
Esteban Ribovics,1299.6560698031853,1,2025-08-02
Thiago Santos,1299.5696668760747,0,2022-08-06
Ryan Laflare,1299.0845620168632,0,2018-10-06
Rafael Estevam,1298.9899952718965,3,2025-08-02
Gunnar Nelson,1298.8845666243021,0,2025-03-22
Chris Lytle,1298.7823156465483,1,2011-08-14
Tom Nolan,1298.7149161392956,4,2025-09-28
Martin Kampmann,1298.1667317942656,0,2013-08-28
Germaine De Randamie,1297.4677990513765,0,2024-04-06
Da Un Jung,1297.015616120369,0,2022-07-16
Carlos Diego Ferreira,1295.0031476717413,0,2025-09-13
Thiago Tavares,1294.7457277323722,0,2016-07-08
Mike Davis,1294.6146768494013,1,2025-07-12
Joselyne Edwards,1294.3172409773442,3,2025-08-09
Kai Kara-France,1293.6941278315053,0,2025-06-28
Zak Cummings,1293.530524784565,2,2023-04-15
Michel Pereira,1293.3852536205272,0,2025-08-23
Roger Huerta,1293.0986377408908,0,2009-09-16
Navajo Stirling,1292.864269642775,3,2025-09-28
Ramiz Brahimaj,1292.6528133603097,3,2025-10-04
Ruslan Magomedov,1291.9976494486764,3,2015-10-03
Myles Jury,1291.9050185661185,0,2019-02-17
You Su-Young,1291.7326770315965,3,2025-08-23
Charles Johnson,1291.6882827842182,1,2025-08-23
Chris Curtis,1291.3210314795365,1,2025-07-12
